image_id,filename,category_id,category_folder,image_type,is_ai,label_size_pct,label_position,label_type,source_url,ai_tool,feed_caption,feed_source_tag
cat01_001,cat01_real.jpg,cat01,cat01_avengers,real,False,0,none,none,https://www.imdb.com/title/tt0848228/mediaindex/,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_002,cat01_ai_nolabel.jpg,cat01,cat01_avengers,ai,True,0,none,none,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_003,cat01_ai_0.1pct_topleft.jpg,cat01,cat01_avengers,ai_labeled,True,0.1,topleft,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_004,cat01_ai_0.1pct_topright.jpg,cat01,cat01_avengers,ai_labeled,True,0.1,topright,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_005,cat01_ai_0.1pct_bottomleft.jpg,cat01,cat01_avengers,ai_labeled,True,0.1,bottomleft,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_006,cat01_ai_0.1pct_bottomright.jpg,cat01,cat01_avengers,ai_labeled,True,0.1,bottomright,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_007,cat01_ai_0.25pct_topleft.jpg,cat01,cat01_avengers,ai_labeled,True,0.25,topleft,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_008,cat01_ai_0.25pct_topright.jpg,cat01,cat01_avengers,ai_labeled,True,0.25,topright,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_009,cat01_ai_0.25pct_bottomleft.jpg,cat01,cat01_avengers,ai_labeled,True,0.25,bottomleft,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_010,cat01_ai_0.25pct_bottomright.jpg,cat01,cat01_avengers,ai_labeled,True,0.25,bottomright,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_011,cat01_ai_0.5pct_topleft.jpg,cat01,cat01_avengers,ai_labeled,True,0.5,topleft,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_012,cat01_ai_0.5pct_topright.jpg,cat01,cat01_avengers,ai_labeled,True,0.5,topright,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_013,cat01_ai_0.5pct_bottomleft.jpg,cat01,cat01_avengers,ai_labeled,True,0.5,bottomleft,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
cat01_014,cat01_ai_0.5pct_bottomright.jpg,cat01,cat01_avengers,ai_labeled,True,0.5,bottomright,text,none,ideogram.ai,Marvel's Avengers cast and crew gather at the New York Stock Exchange for the film's official launch event. The film went on to gross over $1.5 billion worldwide.,@Marvel
